,Date,BRAND_A_Total_Digital_Spending,BRAND_A_Insert,BRAND_A_NDP,BRAND_A_New product,BRAND_A_OTHER_CATEGORY_1_GRP,BRAND_A_OTHER_CATEGORY_2_GRP,BRAND_A_PRICE,BRAND_A_Redemption,BRAND_A_TOTAL_GRP,BRAND_A_VOLUME,Teshir_Orani_BRAND_A,PCE,COMPETITOR_A_Insert,COMPETITOR_A_PRICE,COMPETITOR_B_Insert,COMPETITOR_B_PRICE,COMPETITOR_B_Redemption,COMPETITOR_B_TOTAL_GRP,COMPETITOR_C_Insert,COMPETITOR_C_PRICE,COMPETITOR_C_Redemption,COMPETITOR_C_TOTAL_GRP,COMPETITOR_D_Insert,COMPETITOR_D_PRICE,COMPETITOR_D_Redemption,COMPETITOR_D_TOTAL_GRP,COMPETITOR_E_PRICE,COMPETITOR_E_TOTAL_GRP,COMPETITOR_F_TOTAL_GRP,COMPETITOR_New product,Anneler_Gunu,Babalar_Gunu,Kadinlar_Gunu,Kurban_Bayrami,Ramazan_Bayrami,Sevgililer_Gunu,Special_Day1,Special_Day2,Yilbasi,Year,Month,Week
0,2016-05-02,15065.24,0.0,0.0,0.0,0.0,72.0,12.5933789,0.0,0.0,35232.8,0.0,964.074,0.0,11.89,0.0,15.37,0.0,0.0,0.0,13.35,0.0,0.0,0.0,11.74,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2016,5,18
1,2016-05-09,9386.9,0.0,0.0,0.0,0.0,0.0,9.306887701,0.0,31.59,155680.4,0.0,964.074,0.0,9.51,0.0,9.65,0.0,0.0,0.0,9.94,0.0,0.0,0.0,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,5,19
2,2016-05-16,10038.43,0.0,0.0,0.0,0.0,0.0,12.53907546,0.0,137.83,34356.6,0.0,964.074,0.0,12.14,0.0,15.17,0.0,0.0,0.0,13.04,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,5,20
3,2016-05-23,9449.79,0.0,0.0,0.0,0.0,0.0,12.91524262,0.0,165.48,34145.7,0.0,964.074,0.0,12.69,0.0,15.61,0.0,0.0,0.0,13.49,0.0,0.0,0.0,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,5,21
4,2016-05-30,10151.44,0.0,0.0,0.0,0.0,0.0,12.67814937,0.0,68.16,35328.5,0.0,964.074,0.0,12.31,0.0,15.47,0.0,0.0,0.0,13.67,0.0,0.0,0.0,12.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,5,22
5,2016-06-06,6227.21,0.0,0.0,0.0,0.0,0.0,12.56387859,0.0,177.46,38236.6,0.0,974.061,0.0,12.82,0.0,15.05,0.0,0.0,0.0,13.98,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,6,23
6,2016-06-13,22223.85,0.0,0.0,0.0,0.0,0.0,12.52911436,0.0,121.48,35206.0,0.0,974.061,0.0,12.9,0.0,14.38,0.0,0.0,0.0,13.42,0.0,0.0,0.0,11.56,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,2016,6,24
7,2016-06-20,20252.93,0.0,0.0,0.0,0.0,0.0,12.43241024,0.0,161.0,41407.9,0.0,974.061,0.0,12.75,0.0,14.5,0.0,0.0,0.0,13.95,0.0,0.0,0.0,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,6,25
8,2016-06-27,8475.29,0.0,0.0,0.0,0.0,0.0,11.14534449,0.0,27.05,59558.5,0.0,974.061,0.0,11.98,0.0,12.34,0.0,0.0,0.0,13.49,0.0,0.0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,6,26
9,2016-07-04,0.0,0.0,0.0,0.0,0.0,0.0,9.994924985,0.0,0.0,80590.9,0.0,960.752,0.0,9.48,0.0,11.61,0.0,0.0,0.0,10.45,0.0,0.0,0.0,9.89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,2016,7,27
10,2016-07-11,0.0,0.0,0.0,0.0,0.0,0.0,11.75836372,0.0,46.38,47302.5,0.0,960.752,0.0,9.74,0.0,13.78,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.86,0.0,37.08,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,7,28
11,2016-07-18,0.0,0.0,0.0,0.0,0.0,0.0,13.05564731,0.0,0.0,34513.8,0.0,960.752,0.0,10.11,0.0,16.23,0.0,0.0,0.0,13.62,0.0,0.0,0.0,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,7,29
12,2016-07-25,0.0,0.0,0.0,0.0,0.0,0.0,12.97577855,0.0,0.0,35373.6,0.0,960.752,0.0,10.12,0.0,16.11,0.0,0.0,0.0,12.91,0.0,0.0,0.0,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,7,30
13,2016-08-01,7016.63,0.0,0.0,0.0,0.0,0.0,10.78983493,0.0,0.0,54708.9,0.0,947.444,0.0,9.35,0.0,12.62,0.0,0.0,0.0,10.97,0.0,0.0,0.0,10.97,0.0,38.51,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,8,31
14,2016-08-08,26604.7,0.0,0.0,0.0,0.0,0.0,12.53135875,0.0,0.0,41176.7,0.0,947.444,0.0,11.71,0.0,15.48,0.0,0.0,0.0,13.16,0.0,0.0,0.0,11.13,0.0,112.65,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,8,32
15,2016-08-15,10849.81,0.0,0.0,0.0,0.0,0.0,12.70926849,0.0,0.0,42929.3,0.0,947.444,0.0,13.25,0.0,15.22,0.0,0.0,0.0,13.34,0.0,0.0,0.0,10.59,0.0,112.14,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,8,33
16,2016-08-22,14167.6,0.0,0.0,0.0,0.0,0.0,12.71631286,0.0,14.16,40577.8,0.0,947.444,0.0,12.42,0.0,14.66,0.0,0.0,0.0,13.11,0.0,0.0,0.0,10.73,0.0,71.64,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,8,34
17,2016-08-29,19477.92,0.0,0.0,0.0,0.0,0.0,12.65400546,0.0,54.05,41670.6,0.0,947.444,0.0,12.76,0.0,15.78,0.0,0.0,0.0,12.89,0.0,0.0,0.0,10.73,0.0,18.08,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,8,35
18,2016-09-05,22984.56,0.0,0.0,0.0,0.0,0.0,10.58151677,0.0,109.2,73930.8,0.0,934.136,0.0,11.69,0.0,10.4,0.0,0.0,0.0,12.87,0.0,0.0,0.0,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,9,36
19,2016-09-12,29147.12,0.0,0.0,0.0,0.0,0.0,9.377554718,0.0,38.62,123912.9,0.0,934.136,0.0,9.98,0.0,9.87,0.0,0.0,0.0,10.93,0.0,0.0,0.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2016,9,37
20,2016-09-19,31983.37,0.0,0.0,0.0,0.0,0.0,12.72843776,0.0,149.11,49471.9,0.0,934.136,0.0,13.58,0.0,15.69,0.0,0.0,0.0,16.4,0.0,0.0,0.0,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,9,38
21,2016-09-26,25866.29,0.0,0.0,0.0,0.0,148.0,12.35778473,0.0,132.04,52112.9,0.0,934.136,0.0,12.71,0.0,16.24,0.0,0.0,0.0,14.43,0.0,0.0,0.0,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,9,39
22,2016-10-03,2126.55,0.0,0.0,0.0,0.0,125.0,11.9741247,0.0,103.88,50751.1,0.0,957.349,0.0,12.56,0.0,14.91,0.0,0.0,0.0,16.72,0.0,0.0,0.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,10,40
23,2016-10-10,0.0,0.0,0.0,0.0,0.0,100.0,12.23113832,0.0,118.6,48352.0,0.0,957.349,0.0,12.6,0.0,15.49,0.0,0.0,0.0,15.48,0.0,0.0,0.0,11.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,10,41
24,2016-10-17,0.0,0.0,0.0,0.0,0.0,127.0,12.27849287,0.0,132.0,48051.5,0.0,957.349,0.0,11.27,0.0,13.21,0.0,0.0,0.0,12.91,0.0,0.0,0.0,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,10,42
25,2016-10-24,0.0,0.0,0.0,0.0,0.0,113.0,10.51010127,0.0,121.31,65308.6,0.0,957.349,0.0,9.37,0.0,11.32,0.0,0.0,0.0,14.08,0.0,0.0,0.0,9.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,10,43
26,2016-10-31,0.0,0.0,0.0,0.0,0.0,8.0,9.034874811,0.0,47.95,102713.1,0.0,957.349,0.0,8.5,0.0,9.6,0.0,0.0,0.0,13.02,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,10,44
27,2016-11-07,0.0,0.0,0.0,0.0,0.0,142.0,11.83925405,0.0,120.7,45687.0,0.0,980.563,0.0,12.28,0.0,15.14,0.0,0.0,0.0,15.31,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,11,45
28,2016-11-14,0.0,0.0,0.0,0.0,0.0,134.0,10.02425282,0.0,8.12,81392.6,0.0,980.563,0.0,11.01,0.0,12.34,0.0,0.0,0.0,12.14,0.0,0.0,0.0,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,11,46
29,2016-11-21,0.0,0.0,0.0,0.0,0.0,60.0,10.56157519,0.0,0.0,57349.4,0.0,980.563,0.0,11.55,0.0,15.4,0.0,0.0,0.0,13.12,0.0,0.0,0.0,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2016,11,47
